,created_at,id,text
91,Thu Apr 02 19:32:56 +0000 2020,1245796377403293696,@elonmusk @Tesla URGENT! Sweden needs surgical masks to staff working with covid. Many has NOtHING! The goverment d… https://t.co/XCwszmF4tM
92,Thu Apr 02 19:36:42 +0000 2020,1245797323835351043,@elonmusk @Tesla Please we need it in Nigeria.  We have over 170 confirmed cases of @COVID-19. Any number will go a long way.
93,Thu Apr 02 19:36:57 +0000 2020,1245797385533411328,@elonmusk @Tesla Dude @elonmusk it’s been reported your “ventilators” are useless cpap and bipap machines ineffecti… https://t.co/pTx2E5cVhJ
94,Thu Apr 02 21:08:02 +0000 2020,1245820308440956929,@elonmusk @Tesla Great that you want to help people with sleep apnoea. Do you have anything for people with Covid-19 though?
95,Thu Apr 02 21:27:03 +0000 2020,1245825096146489346,@elonmusk @Tesla For saving humans who are suffered in COVID-19. Accept our Big Thanks 🙏!
96,Thu Apr 02 22:12:51 +0000 2020,1245836619795648512,"@elonmusk @Tesla Hello Musk, I wish you could help Panama 🇵🇦 with the respirators for patients with covid 19 our he… https://t.co/BtRWexRAVr"
97,Thu Apr 02 22:46:20 +0000 2020,1245845046030721026,"@elonmusk @Tesla Dear Elon Musk, Can you make research on medicine for #Covid. Because YOU CAN DO IT. It's a simple task for u."
98,Thu Apr 02 23:53:18 +0000 2020,1245861900430139392,@elonmusk @Tesla Are you sure its the right ventilators used in ICUs and not BPAP? Because you can't treat COVID-19… https://t.co/EHL4YHebQV
99,Thu Apr 02 23:55:48 +0000 2020,1245862528413884416,"@elonmusk @Tesla Dear Elon, my name is Onyeka am from Nigeria. Please on behalf of the poor Nigerians    that has c… https://t.co/cAarWCvBc5"
100,Fri Apr 03 02:57:57 +0000 2020,1245908369686163458,"@elonmusk @ChrisDungeon @Tesla Hi @elonmusk  Please help the awareness on contact tracing. 

Contact Tracing App to… https://t.co/1vpX4ttnK4"
101,Fri Apr 03 03:48:03 +0000 2020,1245920974605713408,@elonmusk  I am Rachel from County of Santa Clara Procurement.  I am supporting County EOC and County Hospitals EOC… https://t.co/Cm1hbdavKB
102,Fri Apr 03 04:16:17 +0000 2020,1245928082864664576,"@elonmusk @Tesla I was skeptical.  After researching, I think these BiPAP ventilators are way better than nothing a… https://t.co/QrElkNcbVt"
103,Fri Apr 03 05:40:13 +0000 2020,1245949204964524032,"@elonmusk @Tesla Elon, no need to send to Nigeria, because the thieving political class who imported Covid 19 into… https://t.co/QCF9T62QCX"
104,Fri Apr 03 05:45:55 +0000 2020,1245950637411614722,@elonmusk @Tesla Hi Elon look into this Company Hepion Pharm - company my have the edge on having the cure for COVI… https://t.co/BfkVETW3o5
105,Fri Apr 03 06:38:44 +0000 2020,1245963929496535040,@elonmusk @Tesla How do you clean a room after covid patient leaves it without exposing cleaning staff to covid? Or… https://t.co/T096rOqLPL
106,Fri Apr 03 07:05:19 +0000 2020,1245970621244116992,"@elonmusk @Tesla Hey Elon, In India ventilator shortage problem is here in the hospitals to treat Covid-19 patients… https://t.co/W0b6kEXWTO"
107,Fri Apr 03 09:46:48 +0000 2020,1246011256940703745,"@elonmusk @Tesla Mr. Musk, we really need ventilators in Afghanistan. We only have about 20 ventilators in whole Af… https://t.co/sGUFuQDrMC"
108,Fri Apr 03 09:50:51 +0000 2020,1246012277586907136,"@elonmusk @Tesla Mr. Elon Musk:
We are JCI San Pedro Sula, a non-profit organization in Honduras. Our country curre… https://t.co/Fwh0QWSgaK"
109,Fri Apr 03 10:52:55 +0000 2020,1246027898844262400,"@elonmusk @Tesla @elonmusk please sir,  help my country Ghana.. our president is really doing his best but please w… https://t.co/zDr5jMOx7Z"
110,Fri Apr 03 11:24:36 +0000 2020,1246035871620612104,@elonmusk @Tesla BREAKING: COVID-19: We're studying information suggesting that funds meant to be shared among the… https://t.co/MOwVqdypHv
111,Fri Apr 03 11:38:35 +0000 2020,1246039391555989511,@elonmusk @Tesla LOL   You rock!  You mean they can't be stashed  so the  Simulation Stumpers  can beg for Ventilat… https://t.co/l2shUQoZYq
112,Fri Apr 03 12:59:14 +0000 2020,1246059685410738178,@elonmusk @cody_a_hill @elonmusk - any comment to the suggestions that 5ag is the main cause behind the so called C… https://t.co/HikUc4PXEZ
113,Fri Apr 03 13:14:22 +0000 2020,1246063495457669125,"@elonmusk @Tesla My name is Marcela Pineda, I am a doctor in San Pedro Sula, Honduras.
We are confronting the Covid… https://t.co/VFSW14MO3V"
114,Fri Apr 03 13:37:34 +0000 2020,1246069331307487232,@elonmusk @tesla We received your shipment. The patients and team @HMHNewJersey are grateful. Thank you and your te… https://t.co/NtTX3Ob6QC
115,Fri Apr 03 14:07:55 +0000 2020,1246076972532469760,"@elonmusk @Tesla Dear Sir 
It is excellent &amp; amasing...Please support Italy - field hospital in Brescia . They do n… https://t.co/RK0CMZtmer"
116,Fri Apr 03 16:08:26 +0000 2020,1246107299568947200,"@elonmusk @Tesla Mr Elon Musk, my hospital as referred for covid 19 patient, we hope mr Elon Musk can delivery this… https://t.co/8C42pvUMEn"
117,Fri Apr 03 18:36:41 +0000 2020,1246144607815110656,"@elonmusk Since many of us engineers need to work from home to slow the spread of COVID-19, any chance you'll open… https://t.co/EYp1jtwuw9"
118,Fri Apr 03 19:12:06 +0000 2020,1246153519243112449,"@elonmusk @Tesla 
Teaneck has the most Covid-19 cases in Bergen County.  We desperately need ventilators.  Please H… https://t.co/9hfNBBB6aP"
119,Fri Apr 03 20:36:49 +0000 2020,1246174842052894720,@elonmusk @Tesla Holy Name Hospital is in need of ventilators. Teaneck NJ has the highest number of COVID19 cases i… https://t.co/8tmupXJASN
120,Fri Apr 03 21:29:13 +0000 2020,1246188026528751619,"@elonmusk URGENT: Holy Name Hospital in Teaneck, NJ, has a desperate needs for ventilators. Our town will peak next… https://t.co/ex37ppRbap"
121,Fri Apr 03 22:59:11 +0000 2020,1246210669067808769,@elonmusk @Tesla Teaneck NJ Has the most Covid-19 cases in Bergen County.  We desperately need ventilators.  Please… https://t.co/TU9GiNxuEy
122,Sat Apr 04 01:42:02 +0000 2020,1246251652555907073,"@elonmusk @Tesla Our hospitals need fans for the COVID-19 contingency. Please tell us if you can help us. We are in COLIMA, Mexico. Thanks"
123,Sat Apr 04 01:44:39 +0000 2020,1246252309564272640,"@elonmusk @Tesla Our hospitals need fans for the Covid -19 contingency. Please tell us if you can help us. We are in Colima, México. Thanks"
124,Sat Apr 04 02:47:06 +0000 2020,1246268024140836865,@elonmusk @Tesla Hey do you have any that can be used for covid-19 patients? Because the ones you sent evidently ar… https://t.co/Suz2Px0j8h
125,Sat Apr 04 03:29:43 +0000 2020,1246278748514598913,"@elonmusk @Tesla Pls Sir Elon include Philippines in your list of beneficiaries of test kits, face masks, ventilato… https://t.co/Cm0tb2kv7B"
126,Sat Apr 04 04:21:55 +0000 2020,1246291886366736385,"@elonmusk @Tesla Respected @elonmusk, the port city of Buenaventura in Colombia would thanks a lot your kind suppor… https://t.co/D60Og8ytN1"
127,Sat Apr 04 04:47:27 +0000 2020,1246298311901868032,"@elonmusk @28delayslater @thirdrowtesla @russ1mitchell  and @lopezlinette when you get covid, will you have enough… https://t.co/kwUup6MILs"
128,Sat Apr 04 05:17:56 +0000 2020,1246305985062301696,"@elonmusk New Zealand is on track to be Covid-19 free, Left hand drive export economy, perfect timing for Tesla to… https://t.co/tl7hX4T0Xf"
129,Sat Apr 04 07:18:48 +0000 2020,1246336400749780999,"@elonmusk @Tesla Canadian MD. Big Tesla, SpaceX and Elon Musk fan. But most reports state that these are not ventil… https://t.co/birWXS2aD5"
130,Sat Apr 04 08:06:30 +0000 2020,1246348405409853441,"@elonmusk @Tesla Granted, he may be giving out noninvasive (bipap/cpap) vents, however!! noninvasive vents ""may be… https://t.co/Kr4YLpODqP"
131,Sat Apr 04 08:43:27 +0000 2020,1246357705775878144,@elonmusk @Tesla Hi @elonmusk. You are doing amazing job! We would be grateful for some ventilators for Polish hosp… https://t.co/xWCrsiHHwZ
132,Sat Apr 04 08:46:06 +0000 2020,1246358369599922177,"@elonmusk @Tesla Dear Sir, Antiviral Activity of Ethanolic Extract of Nilavembu a/st Dengue same way it can built i… https://t.co/qyYWSMVN1y"
133,Sat Apr 04 09:00:37 +0000 2020,1246362023526649857,@elonmusk @Tesla I heard that your ventilators are not efficient against COViD-19 respiratory problems and can even… https://t.co/XAaOBhpu8t
134,Sat Apr 04 09:12:43 +0000 2020,1246365068033392641,@elonmusk @Tesla If I can do anything I do it and our Poltava city has nice opportunity to save your self. We have… https://t.co/WBY85WcxWa
135,Sat Apr 04 10:15:35 +0000 2020,1246380888113512448,@elonmusk @Tesla CPAP or BiPAP machines - not ventilators.  Please try to be more honest about the nearly useless (… https://t.co/pKLUkBt6GT
136,Sat Apr 04 11:39:30 +0000 2020,1246402010150141952,@elonmusk I’m buying a Tesla after this covid crap. I appreciate your patriotism Elon.
137,Sat Apr 04 11:51:19 +0000 2020,1246404983676780545,@elonmusk @Tesla Hi Elon and @Tesla. The Zim citizens would be glad to receive your help with vents. We have a clue… https://t.co/ke7tnrrBb3
138,Sat Apr 04 13:11:01 +0000 2020,1246425039865622529,@elonmusk @Tesla But I just read that they cannot be used in the ICU or on Covid patients because they can potentia… https://t.co/SM254qubCo
139,Sat Apr 04 14:33:14 +0000 2020,1246445730841190401,"@elonmusk  For you, greetings from Spain, I can't even work because of Covid-19.

But I have donated more than 500… https://t.co/kmm5R4v37A"
140,Sat Apr 04 14:51:54 +0000 2020,1246450427027021824,"@elonmusk @Tesla Covid-19 Vaccine invented in Pittsburgh
https://t.co/mU6ytFxYR2"
141,Sat Apr 04 16:48:00 +0000 2020,1246479644976500736,"@elonmusk Elaborate, but functional restarting production on Tesla cars.  create safezone for workers with quaranti… https://t.co/9395MVwUT4"
142,Sat Apr 04 17:44:24 +0000 2020,1246493836723003392,"@elonmusk does the HEPA filter protect from the Covid on your @Tesla
https://t.co/uENdv6l8tC"
143,Sat Apr 04 18:23:28 +0000 2020,1246503669538971651,@elonmusk @Tesla @Teslarati it’s beginning of April wonder who won the founder series roadster and model Y referral… https://t.co/VhjtVu2I4G
144,Sat Apr 04 18:33:24 +0000 2020,1246506167905529857,@elonmusk @teslaownersSV @28delayslater @thirdrowtesla Do you have a division in Tesla or SpaceX for taking care of… https://t.co/JrlbDFEIUj
