,created_at,id,text
120,Wed May 20 19:07:55 +0000 2020,1263184697967943680,RT @avoiceforchoice: From @RobertKennedyJr: @moderna_tx stock drops after COVID-19 vaccine trial showed a 20% serious injury rate (medical…
121,Wed May 20 20:02:50 +0000 2020,1263198519457992704,@BillGates @moderna_tx  https://t.co/VZCjgCtiaw  Remember! RNA IS WHAT GOT US INTO TROUBLE IN THE FIRST PLACE!
122,Wed May 20 20:18:50 +0000 2020,1263202545662660613,RT @trendcrop: .@moderna_tx said neutralising antibodies were found in the people who took part in their safety trials.And the immune respo…
123,Wed May 20 20:29:01 +0000 2020,1263205106012565505,"@BloombergTV @FerroTV God help u #Moderna @moderna_tx 
+ @Harvard @HarvardHealth 
if you're playing people for a fo… https://t.co/HN4Wtt8VmD"
124,Wed May 20 20:29:31 +0000 2020,1263205233150263296,"RT @MadeinMenlo: @BloombergTV @FerroTV God help u #Moderna @moderna_tx 
+ @Harvard @HarvardHealth 
if you're playing people for a fool
duri…"
125,Wed May 20 20:48:58 +0000 2020,1263210128595021824,"RT @Kenricward: @GOPLeader @louiedadawg @moderna_tx Gates Foundation gave $20 million to Moderna, which is developing a COVID vaccine. Monc…"
126,Wed May 20 21:06:08 +0000 2020,1263214450057916416,"RT @PowerLunch: Moderna Chairman responds to controversy surrounding COVID-19 vaccine trial data.
$MRNA @moderna_tx #coronavirus https://t.…"
127,Wed May 20 21:58:54 +0000 2020,1263227728591011841,"Fascinating to know that @moderna_tx, at the forefront of #Covid_19 vaccine research, is right in your own backyard https://t.co/nqUoBLLdsa"
128,Wed May 20 22:32:17 +0000 2020,1263236129622540289,.@moderna_tx #Covid_19 #Vaccine Whiplash Demands Better Disclosure #compliance #pharma https://t.co/5d7l6VjI9J https://t.co/YYLL37flwK
129,Wed May 20 23:31:58 +0000 2020,1263251148837982208,"RT @MariaBartiromo: .#breaking : ceo of @moderna_tx just told me #stephaneBancel ""has the go ahead for phase 2 for #Covid_19 vaccine any da…"
130,Thu May 21 01:15:07 +0000 2020,1263277106105999360,The #COVID19 vaccine trial by @moderna_tx shows promising preliminary results. The project sponsored by… https://t.co/5EDVsouQev
131,Thu May 21 07:00:58 +0000 2020,1263364141755928577,@ScienceNews Mostly vaccines take 6-10 years in the development alone. If #covid19 vaccine gets ready in couple of… https://t.co/4AK8GIp3jE
132,Thu May 21 07:20:44 +0000 2020,1263369118427774977,.@moderna_tx is on track to advance its COVID-19 vaccine candidate mRNA-1273 into Phase II &amp; Phase III trials… https://t.co/SubRczkbeW
133,Thu May 21 07:52:02 +0000 2020,1263376992319287296,"@GOPLeader @EricTrump @moderna_tx @GOPLeader LIE to US. Actual Scientists state ""IF we're lucky, maybe a year to 18… https://t.co/44wdzPDfRw"
134,Thu May 21 12:16:32 +0000 2020,1263443559283294208,"RT @THEAlleyeceeing: Moncef  Slaoui was named “chief scientist” for Trump’s “Operation Warp Speed,” a COVID-19 vaccine development op. He o…"
135,Thu May 21 13:52:21 +0000 2020,1263467672374829058,What @moderna_tx did not tell us https://t.co/fjheQkFGeH via @ConversationUS
136,Thu May 21 14:53:40 +0000 2020,1263483102984318978,"Bayh-Dole is fueling the R&amp;D into several #COVID19 therapies, including @GileadSciences' #remdesivir (… https://t.co/cfoMEbaQ3s"
137,Thu May 21 17:09:37 +0000 2020,1263517313795452930,RT @TimesOfE: The #COVID19 vaccine trial by @moderna_tx shows promising preliminary results. The project sponsored by @NoubarAfeyan of @Fla…
138,Thu May 21 17:18:20 +0000 2020,1263519506401390592,"The Holes in That Big COVID-19 Vaccine Announcement.

TRUMP @FoxNews @GOP ☠️🇺🇸’s

@moderna_tx @VP @FdA @nytimes… https://t.co/ZcAc5xi8iD"
139,Thu May 21 18:19:01 +0000 2020,1263534779795898368,"🇨🇭 @LonzaGroup ready to produce hundreds of millions #COVID19 vaccine this year, if trials continue to prove succes… https://t.co/kOheitBZYH"
140,Thu May 21 18:45:25 +0000 2020,1263541422348795906,"RT @HofSwitzerland: 🇨🇭 @LonzaGroup ready to produce hundreds of millions #COVID19 vaccine this year, if trials continue to prove successful…"
141,Fri May 22 13:02:38 +0000 2020,1263817546551177216,Biotech firm @Moderna_tx announced promising results from the 1st phase of its COVID-19 vaccine trial. Some experts… https://t.co/8JLAysGrCI
142,Fri May 22 14:54:09 +0000 2020,1263845609469104128,"#Fauci is confident U.S. could have a #coronavirus #vaccine by #December
@moderna_tx Moderna's early COVID-19 vacci… https://t.co/dB9ulri5M4"
143,Fri May 22 16:33:19 +0000 2020,1263870565422469121,RT @PNS_News: Biotech firm @Moderna_tx announced promising results from the 1st phase of its COVID-19 vaccine trial. Some experts consideri…
